,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Portland,US,45.5234,-122.6762,62.98,82,20,5.75,few clouds
117,Maun,BW,-19.9833,23.4167,70.63,37,3,9.22,clear sky
118,Vilyuysk,RU,63.7553,121.6247,26.92,85,88,7.99,overcast clouds
119,Espana,PH,12.3841,122.499,84.11,72,97,1.43,overcast clouds
120,Hualmay,PE,-11.0964,-77.6139,60.13,86,23,8.39,few clouds
121,Salalah,OM,17.0151,54.0924,78.89,57,0,2.3,clear sky
122,Hilo,US,19.7297,-155.09,80.33,79,40,11.5,scattered clouds
123,Port Hedland,AU,-20.3167,118.5667,93.25,43,3,19.57,clear sky
124,Presidente Epitacio,BR,-21.7633,-52.1156,69.13,93,100,7.47,moderate rain
125,Jamestown,US,42.097,-79.2353,40.71,80,0,6.91,clear sky
126,Saldanha,ZA,-33.0117,17.9442,58.77,84,58,18.45,broken clouds
127,Teguldet,RU,57.3064,88.1667,39.72,87,100,9.28,overcast clouds
128,Peniche,PT,39.3558,-9.3811,65.28,93,100,12.3,overcast clouds
129,Nelson Bay,AU,-32.7167,152.15,70.0,93,100,4.0,light rain
130,Lavrentiya,RU,65.5833,-171.0,34.14,99,100,8.59,light snow
131,Kavaratti,IN,10.5669,72.642,81.12,75,99,4.29,overcast clouds
132,Bengkulu,ID,-3.8004,102.2655,81.19,76,100,5.64,overcast clouds
133,Zuwarah,LY,32.9312,12.082,69.15,74,3,5.84,clear sky
134,Rogovatoye,RU,51.23,38.3818,36.77,79,71,14.58,broken clouds
135,Volodarka,UA,49.5248,29.9122,33.22,90,9,5.59,clear sky
136,Coolum Beach,AU,-26.5333,153.1,71.11,98,51,1.01,light rain
137,Lompoc,US,34.6391,-120.4579,70.79,97,100,5.75,mist
138,The Valley,AI,18.217,-63.0578,82.09,76,3,16.53,clear sky
139,Riyadh,SA,24.6877,46.7219,69.94,15,0,4.76,clear sky
140,Vila Velha,BR,-20.3297,-40.2925,73.94,88,62,5.01,broken clouds
141,Nehe,CN,48.4833,124.8333,39.69,93,100,12.66,overcast clouds
142,Lorengau,PG,-2.0226,147.2712,85.73,66,79,6.06,broken clouds
143,Armenia,AM,40.0,45.0,47.28,72,2,3.56,clear sky
144,Aksu,CN,41.1231,80.2644,58.96,22,0,4.23,clear sky
145,Jabinyanah,TN,35.035,10.9081,69.37,63,0,5.26,clear sky
146,Butaritari,KI,3.0707,172.7902,81.3,74,20,9.24,few clouds
147,Arona,ES,28.0996,-16.681,66.56,65,20,6.91,few clouds
148,Victoria,HK,22.2855,114.1577,85.96,62,35,5.99,scattered clouds
149,Thompson,CA,55.7435,-97.8558,45.46,75,73,10.71,broken clouds
150,Pangnirtung,CA,66.1451,-65.7125,28.22,93,100,11.83,snow
151,Georgetown,MY,5.4112,100.3354,89.53,70,20,5.75,few clouds
152,Romny,UA,50.751,33.4747,35.11,83,43,8.77,scattered clouds
153,Mineiros,BR,-17.5694,-52.5511,76.57,54,100,3.02,moderate rain
154,Te Anau,NZ,-45.4167,167.7167,53.62,44,25,3.09,scattered clouds
155,Suoyarvi,RU,62.0833,32.35,32.79,81,100,3.62,overcast clouds
156,Qaanaaq,GL,77.484,-69.3632,-2.13,69,0,10.33,clear sky
157,Rio Grande,BR,-32.035,-52.0986,61.86,96,100,10.92,light rain
158,Sazonovo,RU,59.0919,35.2268,35.85,97,94,4.36,overcast clouds
159,Lanxi,CN,29.2195,119.477,77.65,40,3,3.13,clear sky
160,Pevek,RU,69.7008,170.3133,20.37,95,99,3.53,overcast clouds
161,Avera,US,33.194,-82.5271,40.51,40,2,6.11,clear sky
162,Iwaki,JP,37.05,140.8833,72.77,61,51,3.0,broken clouds
163,Polovinnoye,RU,54.7914,65.9864,41.05,90,100,3.76,light rain
164,Huron,US,41.1501,-82.5499,44.69,53,65,12.62,broken clouds
165,Tutoia,BR,-2.7619,-42.2744,78.8,83,68,11.99,broken clouds
166,Boguchany,RU,58.3814,97.4531,37.65,71,99,7.81,overcast clouds
167,Deputatskiy,RU,69.3,139.9,0.16,94,36,6.58,scattered clouds
168,La Rioja,ES,42.25,-2.5,49.78,70,100,5.75,overcast clouds
169,Kodiak,US,57.79,-152.4072,45.91,57,0,5.75,clear sky
170,Tura,IN,25.5198,90.2201,81.16,56,0,3.67,clear sky
171,Auki,SB,-8.7676,160.7034,83.61,76,99,4.59,overcast clouds
172,Mnogovershinnyy,RU,53.9353,139.9242,30.61,61,83,16.6,broken clouds
173,Aswan,EG,24.0934,32.907,74.84,43,6,11.45,clear sky
174,Komsomolskiy,UZ,40.4272,71.7189,52.52,66,37,2.3,scattered clouds
175,Natal,BR,-5.795,-35.2094,76.93,70,26,13.42,scattered clouds
176,Tasiilaq,GL,65.6145,-37.6368,33.96,98,100,4.72,light snow
177,Road Town,VG,18.4167,-64.6167,82.49,75,3,16.89,clear sky
178,East London,ZA,-33.0153,27.9116,66.02,78,80,4.27,broken clouds
179,Huarmey,PE,-10.0681,-78.1522,60.49,86,24,7.45,few clouds
180,Airai,TL,-8.9266,125.4092,77.58,52,45,2.06,scattered clouds
181,Necochea,AR,-38.5473,-58.7368,50.72,84,16,6.06,few clouds
182,Melur,IN,10.05,78.3333,80.42,70,100,8.1,overcast clouds
183,Ostrovnoy,RU,68.0531,39.5131,36.25,66,100,28.61,light rain
184,Kisanga,TZ,-7.4362,37.7034,69.82,74,100,0.31,overcast clouds
185,Terenos,BR,-20.4422,-54.8603,69.3,97,100,1.83,light rain
186,Bambous Virieux,MU,-20.3428,57.7575,74.21,75,26,10.85,scattered clouds
187,Langfang,CN,39.5097,116.6947,70.05,26,90,4.76,overcast clouds
188,Cherskiy,RU,68.75,161.3,10.87,94,75,5.73,broken clouds
189,Cap Malheureux,MU,-19.9842,57.6142,74.46,72,24,7.0,few clouds
190,Tazovskiy,RU,67.4667,78.7,33.17,95,100,14.85,overcast clouds
191,Maniitsoq,GL,65.4167,-52.9,35.19,78,100,17.54,snow
192,Makakilo City,US,21.3469,-158.0858,77.45,72,75,10.36,broken clouds
193,Chifeng,CN,42.2683,118.9636,64.98,22,0,10.47,clear sky
194,Pacifica,US,37.6138,-122.4869,65.41,90,20,14.97,mist
