City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
106,Moerai,PF,2022-10-21 00:08:55,-22.4333,-151.3333,73.42,83,84,21.0
107,Kanigoro,ID,2022-10-21 00:08:55,-8.13,112.219,77.07,88,100,0.98
108,Sri Aman,MY,2022-10-21 00:08:56,1.2376,111.4621,76.01,94,99,0.87
109,Young,UY,2022-10-21 00:08:56,-32.6833,-57.6333,61.81,97,100,4.07
110,Hasaki,JP,2022-10-21 00:08:56,35.7333,140.8333,59.4,54,0,9.69
111,Chokurdakh,RU,2022-10-21 00:08:57,70.6333,147.9167,13.59,93,100,18.63
112,Mengcheng,CN,2022-10-21 00:08:57,33.2579,116.5655,60.69,68,100,4.32
113,Richards Bay,ZA,2022-10-21 00:08:58,-28.783,32.0377,71.4,91,69,10.89
114,Inhambane,MZ,2022-10-21 00:08:58,-23.865,35.3833,71.19,85,2,5.64
115,Severo-Kurilsk,RU,2022-10-21 00:08:58,50.6789,156.125,44.71,71,99,11.41
116,Dubbo,AU,2022-10-21 00:08:59,-32.25,148.6167,70.81,78,74,15.03
117,Barinas,VE,2022-10-21 00:08:59,8.6226,-70.2075,80.51,67,91,1.36
118,Codrington,AU,2022-10-21 00:08:59,-38.2667,141.9667,62.56,95,99,5.39
119,Douentza,ML,2022-10-21 00:09:00,14.9951,-2.9517,85.1,20,28,3.65
120,Meulaboh,ID,2022-10-21 00:09:00,4.1363,96.1285,74.71,95,100,5.77
121,Yamada,JP,2022-10-21 00:09:00,39.4667,141.95,62.71,61,8,3.02
122,Gat,IL,2022-10-21 00:05:25,31.61,34.7642,72.39,100,72,6.26
123,Assiniboia,CA,2022-10-21 00:09:01,49.6334,-105.9845,57.4,31,97,16.93
124,The Pas,CA,2022-10-21 00:04:22,53.8251,-101.2541,52.84,66,100,13.73
125,Norman Wells,CA,2022-10-21 00:09:01,65.282,-126.8329,28.44,80,75,11.5
126,Faanui,PF,2022-10-21 00:09:02,-16.4833,-151.75,79.25,75,55,13.31
127,Parakai,NZ,2022-10-21 00:09:02,-36.65,174.4333,65.25,65,31,9.51
128,Bud,US,2022-10-21 00:09:02,39.447,-86.1758,53.67,46,20,8.57
129,Les Escoumins,CA,2022-10-21 00:09:03,48.1111,-69.0236,38.34,84,81,13.96
130,Malanje,AO,2022-10-21 00:10:03,-9.5402,16.341,66.24,92,98,3.02
131,Vagur,FO,2022-10-21 00:10:03,61.4732,-6.8119,49.32,86,100,25.03
132,Talnakh,RU,2022-10-21 00:10:04,69.4865,88.3972,34.21,98,100,17.25
133,Cairns,AU,2022-10-21 00:10:04,-16.9167,145.7667,84.11,88,100,4.61
134,Mumford,GH,2022-10-21 00:10:05,5.2618,-0.759,78.06,86,72,8.9
135,Kieta,PG,2022-10-21 00:10:05,-6.2167,155.6333,85.05,71,48,5.17
136,Aldan,RU,2022-10-21 00:10:05,58.6031,125.3894,24.48,96,100,5.93
137,Beloha,MG,2022-10-21 00:10:06,-25.1667,45.05,72.39,66,1,5.7
138,Husavik,IS,2022-10-21 00:10:06,66.0449,-17.3389,34.47,84,87,2.53
139,Impfondo,CG,2022-10-21 00:10:07,1.6381,18.0667,70.21,99,100,1.61
140,Viedma,AR,2022-10-21 00:10:07,-40.8135,-62.9967,55.83,64,89,14.97
141,Almaznyy,RU,2022-10-21 00:10:07,48.0448,40.045,41.7,92,90,25.84
142,Nyrob,RU,2022-10-21 00:10:08,60.733,56.7202,30.22,84,89,10.38
143,Baherden,TM,2022-10-21 00:10:08,38.4362,57.4316,74.28,23,80,6.62
144,Ayr,GB,2022-10-21 00:10:08,55.4627,-4.6339,52.32,93,75,2.3
145,Chumikan,RU,2022-10-21 00:10:09,54.7183,135.315,33.04,67,8,12.73
146,Vestmannaeyjar,IS,2022-10-21 00:10:09,63.4427,-20.2734,43.25,73,96,11.52
147,Saint-Philippe,RE,2022-10-21 00:10:10,-21.3585,55.7679,67.59,82,55,9.42
148,Nikolskoye,RU,2022-10-21 00:10:10,59.7035,30.7861,42.69,96,84,3.67
149,Orito,CO,2022-10-21 00:10:10,0.6766,-76.8771,73.6,94,92,2.17
150,East London,ZA,2022-10-21 00:10:11,-33.0153,27.9116,65.7,81,75,3.69
151,Sechura,PE,2022-10-21 00:10:11,-5.5569,-80.8222,63.99,75,81,18.41
152,Portland,US,2022-10-21 00:08:39,45.5234,-122.6762,71.56,68,40,5.75
153,Pevek,RU,2022-10-21 00:10:12,69.7008,170.3133,20.57,92,100,2.91
154,Ilheus,BR,2022-10-21 00:10:12,-14.7889,-39.0494,72.54,86,53,4.94
155,Cidreira,BR,2022-10-21 00:10:12,-30.1811,-50.2056,66.9,95,100,12.01
156,Cherskiy,RU,2022-10-21 00:10:13,68.75,161.3,15.03,91,97,9.46
157,Port Elizabeth,ZA,2022-10-21 00:10:13,-33.918,25.5701,56.1,83,12,3.8
158,Fukue,JP,2022-10-21 00:10:14,32.6881,128.8419,68.13,62,26,6.8
159,Laguna,US,2022-10-21 00:10:14,38.421,-121.4238,91.11,27,0,8.05
160,Galle,LK,2022-10-21 00:10:14,6.0367,80.217,77.22,90,100,11.65
161,Victoria,HK,2022-10-21 00:07:35,22.2855,114.1577,77.25,75,93,4.0
162,Saint-Joseph,RE,2022-10-21 00:10:15,-21.3667,55.6167,66.58,78,60,9.98
163,Zhigansk,RU,2022-10-21 00:10:15,66.7697,123.3711,14.43,97,96,6.91
164,Ino,JP,2022-10-21 00:10:16,33.55,133.4333,66.42,61,7,0.83
165,Trelew,AR,2022-10-21 00:10:16,-43.249,-65.3051,48.4,58,46,18.75
166,Maragogi,BR,2022-10-21 00:10:16,-9.0122,-35.2225,74.77,77,17,8.86
167,Upata,VE,2022-10-21 00:10:17,8.0086,-62.3989,80.19,75,88,4.32
168,Wasilla,US,2022-10-21 00:10:17,61.5814,-149.4394,41.95,95,100,12.66
169,Goundam,ML,2022-10-21 00:10:17,16.4145,-3.6708,88.99,17,100,9.95
170,Ilebo,CD,2022-10-21 00:10:18,-4.3167,20.5833,68.09,99,92,2.19
171,Katsuura,JP,2022-10-21 00:10:18,35.1333,140.3,67.53,56,0,7.36
172,Leningradskiy,RU,2022-10-21 00:10:19,69.3833,178.4167,30.52,98,100,3.91
173,Kahului,US,2022-10-21 00:08:40,20.8947,-156.47,84.85,67,40,10.36
174,Popondetta,PG,2022-10-21 00:10:19,-8.7537,148.2534,86.16,67,71,3.87
175,Lata,PT,2022-10-21 00:10:19,40.1629,-8.3327,62.82,96,100,5.01
176,Aswan,EG,2022-10-21 00:10:20,24.0934,32.907,77.85,42,5,15.28
177,Minsk,BY,2022-10-21 00:11:21,53.9,27.5667,40.75,75,100,6.35
178,Omboue,GA,2022-10-21 00:11:21,-1.5746,9.2618,75.7,89,92,6.33
179,Kalmunai,LK,2022-10-21 00:11:22,7.4167,81.8167,76.08,92,100,5.44
180,Iquitos,PE,2022-10-21 00:11:22,-3.7481,-73.2472,77.04,88,40,0.0
181,Lompoc,US,2022-10-21 00:11:12,34.6391,-120.4579,87.94,65,0,11.5
182,Havoysund,NO,2022-10-21 00:11:22,70.9963,24.6622,34.03,57,89,4.07
183,Am Timan,TD,2022-10-21 00:11:23,11.0297,20.2827,75.78,53,35,3.29
184,Tiksi,RU,2022-10-21 00:11:23,71.6872,128.8694,1.83,94,26,9.6
185,Valdosta,US,2022-10-21 00:11:24,30.8327,-83.2785,55.42,62,0,0.0
186,Quelimane,MZ,2022-10-21 00:11:24,-17.8786,36.8883,74.66,92,23,4.59
187,Kavieng,PG,2022-10-21 00:11:25,-2.5744,150.7967,83.93,70,78,6.35
188,Calvinia,ZA,2022-10-21 00:11:25,-31.4707,19.776,66.83,26,100,5.12
189,Constitucion,CL,2022-10-21 00:11:26,-35.3333,-72.4167,53.04,82,38,13.0
190,Ambon,ID,2022-10-21 00:11:26,-3.6954,128.1814,82.54,78,20,3.44
191,Ketchikan,US,2022-10-21 00:11:26,55.3422,-131.6461,48.67,93,100,5.75
192,Brooks,CA,2022-10-21 00:11:27,50.5834,-111.8851,48.04,53,90,7.81
193,Halifax,CA,2022-10-21 00:10:47,44.6453,-63.5724,54.45,77,1,1.99
194,Tizimin,MX,2022-10-21 00:11:27,21.15,-88.15,71.4,78,84,5.21
195,Hobart,AU,2022-10-21 00:11:28,-42.8794,147.3294,66.06,65,40,12.66
196,Illela,NG,2022-10-21 00:11:28,13.7292,5.2975,82.63,22,28,8.28
197,Georgetown,MY,2022-10-21 00:07:00,5.4112,100.3354,84.24,80,20,0.0
198,Eydhafushi,MV,2022-10-21 00:11:28,5.1033,73.0708,81.32,76,100,14.25
